[2026-01-10 20:30:43] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:27] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:46] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:37:11] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:41:57] production.INFO: Method: getPlayersOnline. Start...  
[2026-03-13 14:26:07] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199505080070(Pepega). Prev online: 482, Server Online: 1575557, Online: 4931. Diff online: 4449, All online: 2278235, Monday online: 451812, Thursday online: 0  
[2026-03-13 14:26:07] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199258528453(bad-f1?). Prev online: 340, Server Online: 653456, Online: 2555. Diff online: 2215, All online: 841200, Monday online: 120062, Thursday online: 0  
[2026-03-13 14:26:08] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198754436395(『Gaw』- D3). Prev online: 9267, Server Online: 61415, Online: 1266. Diff online: 2215, All online: 142034, Monday online: 80619, Thursday online: 0  
[2026-03-13 14:26:08] local.INFO: Method: getPlayersOnline. Server: 3. Player: 76561199821262476(кава бухаетCS2BGD31.RU). Prev online: 816, Server Online: 564648, Online: 840. Diff online: 24, All online: 856197, Monday online: 564648, Thursday online: 0  
[2026-03-13 14:27:02] local.INFO: Method: getPlayersOnline. Start...  
[2026-03-13 14:27:03] local.INFO: Method: getPlayersOnline. Start...  
[2026-03-13 14:27:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199203821366(Xd). Prev online: 6285, Server Online: 468078, Online: 6345. Diff online: 60, All online: 908636, Monday online: 399228, Thursday online: 0  
[2026-03-13 14:27:03] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199203821366(Xd). Prev online: 6345, Server Online: 468078, Online: 6345. Diff online: 0, All online: 908636, Monday online: 399228, Thursday online: 0  
[2026-03-13 14:27:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199743727010(werdix #ultimaterust). Prev online: 3565, Server Online: 60, Online: 3625. Diff online: 60, All online: 59283, Monday online: 59223, Thursday online: 0  
[2026-03-13 14:27:04] local.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199743727010(werdix #ultimaterust). Prev online: 3625, Server Online: 60, Online: 3625. Diff online: 0, All online: 59283, Monday online: 59223, Thursday online: 0  
